His rheumy eyes began to cloud.	A sus ojos rheumy comenzó a nube.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
A recent study by Dr. Megan Moreno of the University of Wisconsin, Madison and her colleagues found that undergraduates who discussed their drunken exploits on Facebook were significantly more at risk for problem drinking than students who were silent on the topic.	Un reciente estudio realizado por la doctora Megan Moreno, de la Universidad de Wisconsin, Madison y sus colegas descubrieron que los universitarios que discutieron sus hazañas borracho en Facebook fueron mucho más en riesgo por el problema de la bebida que los estudiantes que han guardado silencio sobre el tema.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Within minutes of entering Lyman's room, the man came up from behind her, throwing her down and raping her, she alleges.	Pocos minutos después de entrar en la sala Lyman, el hombre salió de detrás de ella, tirando abajo y la violó, afirma.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
So the minute that a U.S. official says anything the least bit critical of Mexico, you start hearing -- in the Mexican press, and among the elites -- complaints about how the Americans are encroaching upon their neighbor's sovereignty.	Hasta el minuto de que un funcionario estadounidense dice cualquier cosa menos poco crítica de México, que se inicia audiencia - en la prensa mexicana, y entre las elites -- quejas sobre cómo los estadounidenses están invadiendo la soberanía de su vecino.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
When they left, I packed a suitcase and caught the first train to London.	Cuando salían, me llena de una maleta y capturado el primer tren a Londres.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"The military is a top-down structure," she says.	"El ejército es una estructura jerárquica", dice.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Sixty-six parent coordinators were laid off," the draft complaint says, "and not merely excessed.	Sesenta y seis padres coordinadores fueron despedidos," el proyecto de denuncia, dice, "y no simplemente excessed.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Their lives flicker here like votive candles lighted in a church; new ones are added to the mix while some wink out.	Sus vidas rayo aquí como votive iluminada con velas en una iglesia; nuevas se añadió a la mezcla, mientras que algunos guiños.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"I remember the day when the verdict was read," Lyman says.	"Recuerdo el día cuando el veredicto fue leído", dice Lyman.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Mexico's Enrique Pena Nieto faces tough start	México Enrique Peña Nieto enfrenta duras comienzo	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
She is capable only of holding up one or two fingers as her husband encourages her.	Sólo ella es capaz de retener uno o dos dedos como su marido anima a ella.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The NATO mission officially ended Oct. 31.	La misión de la OTAN terminó oficialmente oct. 31.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In both Iraq and Afghanistan, teams of female soldiers are playing increasingly important roles, especially in reaching out to local women in war zones.	Tanto en Irak y Afganistán, equipos de mujeres soldados están jugando un papel cada vez más importante, especialmente en llegar a las mujeres locales en zonas de guerra.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
LaBelle lunged at the mom -- who was still holding Genevieve -- and had to be restrained by her entourage and pulled out to a waiting car, Roseanna Monk said.	Labelle lunged a la mamá -- que todavía sostenía Genevieve -- y tuvo que ser contenido por su séquito y sacó a un coche de espera, Roseanna dijo Monk.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"You can't treat a problem if you can't diagnose it," Dimitri Christakis, Moreno's co-author and director of the Center for Child Health, Behavior and Development at the Seattle Children's Research Institute, told the Washington Post.	"No se puede tratar a un problema si no se puede diagnosticar," Dimitri Christakis, Moreno y coautor del director del Centro de Salud Infantil, antisociales y Desarrollo al Seattle Children 's Research Institute, dijo al Washington Post.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
To help measure this, researchers developed a "Boredom Proneness Scale" in the 1980s.	Para ayudar a medir este, los investigadores desarrollaron un "aburrimiento propensión Escala" en los años ochenta.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Also, pay attention to your subject's language.	Asimismo, prestar atención a su tema la lengua.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Manning replied that his intention during that meeting was to get his "prevention of injury" status downgraded.	Manning respondió que su intención durante esa reunión era rebajar su estado de "prevención de lesiones".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
British American Tobacco Australia said the industry was focused on dealing with the new rules rather than marketing.	British American Tobacco Australia dijo que la industria se ha centrado en tratar con las nuevas reglas en lugar de comercialización.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
A populous, sprawling state surrounding the capital, opinions about the new leader are divided in his old stomping ground.	Un poblado, que ocupa el estado que rodea a la capital, las opiniones sobre el nuevo líder están divididos en su antiguo áreas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
He said that congressional failure to reach a budget agreement and the resulting so-called sequestration would trigger 23% across-the-board reductions and a halt to many new projects.	Dijo que el fracaso del Congreso para alcanzar un acuerdo presupuestario y la consiguiente llamado secuestro desencadenaría un 23% de las reducciones lineales y detener a muchos nuevos proyectos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Patti LaBelle Sued for Allegedly Causing Toddler to Vomit out of Fear	Patti Labelle demandó por, supuestamente, causando vómitos por miedo a bebé	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In fact, justices are exempt from the Code of Conduct that governs the actions of lower federal justices.	De hecho, los jueces están exentos del Código de Conducta que rige las acciones de los jueces federales inferiores.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
On the other hand, when you're doing something dull, "such as looking for bad widgets on a factory line, distracting music can help you not be bored."	Por otro lado, cuando estás haciendo algo aburrido ", como buscando una mala widgets en una línea de fábricas, distrayendo la música puede ayudarle a no ser aburrido".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
